trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.4, 'e': 0.99}",30,0,-156.37516235543185,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.4, 'e': 0.9801}",25,5,-130.9541546986014,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",1
3,False,"{'a': 0.4, 'e': 0.9702989999999999}",20,0,-131.6543754182026,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.4, 'e': 0.96059601}",30,0,-134.01311439226603,"{0: 19, 1: 1, 2: 7, 3: 2, 4: 1}",0
5,False,"{'a': 0.4, 'e': 0.9509900498999999}",20,0,-49.94175489842623,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.4, 'e': 0.9414801494009999}",20,0,-94.44134956696513,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 0}",0
7,False,"{'a': 0.4, 'e': 0.9320653479069899}",25,0,-139.13159652335904,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.4, 'e': 0.92274469442792}",20,0,-149.93537709203744,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
9,False,"{'a': 0.4, 'e': 0.9135172474836407}",20,0,-69.37683644482645,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
10,False,"{'a': 0.4, 'e': 0.9043820750088043}",20,0,-106.84022061793166,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.4, 'e': 0.8953382542587163}",20,14,6.871176396348517,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.4, 'e': 0.8863848717161291}",25,0,-99.48916612721519,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
13,False,"{'a': 0.4, 'e': 0.8775210229989678}",20,6,-60.98188313649053,"{0: 8, 1: 0, 2: 5, 3: 1, 4: 0}",1
14,False,"{'a': 0.4, 'e': 0.8687458127689781}",30,0,-79.78239744839051,"{0: 22, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.4, 'e': 0.8600583546412883}",20,0,-94.20385222932653,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
16,False,"{'a': 0.4, 'e': 0.8514577710948754}",20,0,-93.40756844001395,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.4, 'e': 0.8429431933839266}",20,7,-62.96265980625697,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 1}",1
18,False,"{'a': 0.4, 'e': 0.8345137614500874}",30,0,-251.96989290266683,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 5}",0
19,False,"{'a': 0.4, 'e': 0.8261686238355865}",25,0,-242.30761121991193,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 5}",0
20,False,"{'a': 0.4, 'e': 0.8179069375972307}",35,0,-174.77305968503066,"{0: 24, 1: 3, 2: 4, 3: 1, 4: 3}",0
21,False,"{'a': 0.4, 'e': 0.8097278682212583}",20,0,-45.98937636247644,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
22,False,"{'a': 0.4, 'e': 0.8016305895390458}",30,0,-86.2941081698434,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
23,False,"{'a': 0.4, 'e': 0.7936142836436553}",20,0,-101.10979127675503,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
24,False,"{'a': 0.4, 'e': 0.7856781408072188}",20,13,-30.038492289389836,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
25,False,"{'a': 0.4, 'e': 0.7778213593991465}",25,7,-23.524836070344897,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.4, 'e': 0.7700431458051551}",20,0,-14.037959679277076,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
27,False,"{'a': 0.4, 'e': 0.7623427143471035}",25,0,-54.25325517870572,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
