trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-136.6724494707066,"{0: 11, 1: 3, 2: 10, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-49.64806619572902,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.186544164073496,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-242.12239058389147,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.73009431844923,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.19051222967626,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-155.34200358437312,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.64686129013467,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-133.65828327936484,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-99.78675131084265,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-121.72519404321437,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-145.52916309105066,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",35,0,-131.42703688704833,"{0: 23, 1: 3, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-122.44964748850583,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.32549112197496,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,16,-84.77574349356813,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.45681954825153,"{0: 17, 1: 6, 2: 4, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.51027827150554,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.806436864217005,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-75.73540638491325,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-56.34469858833775,"{0: 15, 1: 5, 2: 5, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,11,-44.35568727278176,"{0: 5, 1: 0, 2: 3, 3: 1, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-165.0286113277303,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.80639381013883,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-51.57038305654492,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.13593471326762,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-25.05411213015052,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-173.42783999507964,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.71302551080294,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.053431511913494,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
